vintage,n_rows,n_eligible,passed
2000Q1,246862,246862,True
2000Q2,274339,274339,True
2000Q3,333498,333498,True
2000Q4,363892,363892,True
2001Q1,471277,471277,True
2001Q2,847128,847128,True
2001Q3,790095,790095,True
2001Q4,896643,896643,True
2002Q1,968761,968761,True
2002Q2,669494,669494,True
2002Q3,751084,751084,True
2002Q4,1248940,1248940,True
2003Q1,1427858,1427858,True
2003Q2,1652957,1652957,True
2003Q3,1738612,1738612,True
2003Q4,840388,840388,True
2004Q1,452471,452471,True
2004Q2,614487,614487,True
2004Q3,389487,389487,True
2004Q4,361659,361659,True
2005Q1,303611,303611,True
2005Q2,339372,339372,True
2005Q3,440521,440521,True
2005Q4,378311,378311,True
2006Q1,253043,253043,True
2006Q2,291165,291165,True
2006Q3,271373,271373,True
2006Q4,280979,280979,True
2007Q1,253279,253279,True
2007Q2,287263,287263,True
2007Q3,314703,314703,True
2007Q4,391181,391181,True
2008Q1,380832,380832,True
2008Q2,444374,444374,True
2008Q3,353265,353265,True
2008Q4,342122,342122,True
2009Q1,617655,617655,True
2009Q2,744708,744708,True
2009Q3,563158,563158,True
2009Q4,393046,393046,True
2010Q1,323174,323174,True
2010Q2,334202,334202,True
2010Q3,496355,496355,True
2010Q4,672768,672768,True
2011Q1,505196,505196,True
2011Q2,282034,282034,True
2011Q3,328627,328627,True
2011Q4,587765,587765,True
2012Q1,637558,637558,True
2012Q2,542027,542027,True
2012Q3,715316,715316,True
2012Q4,721612,721612,True
2013Q1,681364,681364,True
2013Q2,662920,662920,True
2013Q3,623648,623648,True
2013Q4,421733,421733,True
2014Q1,274821,274821,True
2014Q2,326157,326157,True
2014Q3,394546,394546,True
2014Q4,404165,404165,True
2015Q1,437261,437261,True
2015Q2,498516,498516,True
2015Q3,506852,506852,True
2015Q4,430015,430015,True
2016Q1,405925,405925,True
2016Q2,535506,535506,True
2016Q3,655131,655131,True
2016Q4,692673,692673,True
2017Q1,487789,487789,True
2017Q2,492517,492517,True
2017Q3,546663,546663,True
2017Q4,519882,519882,True
2018Q1,458830,458830,True
2018Q2,454581,454581,True
2018Q3,500018,500018,True
2018Q4,421040,421040,True
2019Q1,341865,341865,True
2019Q2,407389,407389,True
2019Q3,673662,673662,True
2019Q4,690018,690018,True
2020Q1,683742,683742,True
2020Q2,1235767,1235767,True
2020Q3,1384277,1384277,True
2020Q4,1513861,1513861,True
2021Q1,1413390,1413390,True
2021Q2,1316215,1316215,True
2021Q3,1039051,1039051,True
2021Q4,1013436,1013436,True
2022Q1,793818,793818,True
2022Q2,567613,567613,True
2022Q3,377913,377913,True
2022Q4,273662,273662,True
2023Q1,210810,210810,True
2023Q2,276714,276714,True
2023Q3,266728,252089,True
2023Q4,215934,69503,True
2024Q1,188502,30396,True
2024Q2,254648,30629,True
2024Q3,277280,23422,False
2024Q4,250546,11072,False
2025Q1,192096,8011,False
2025Q2,246937,3962,False
2025Q3,245598,941,False
