epoch,train_loss,delinq_pr_auc,prepay_pr_auc,joint_pr_auc
1,1.4066922366555288,0.37158982945270513,0.22571542449758955,0.29865262697514733
2,1.379464591595171,0.36912818500723144,0.2279898902031106,0.298559037605171
3,1.3735650398462267,0.3684448668009156,0.2323303760852777,0.30038762144309666
4,1.3696041265786947,0.371906918084841,0.2323624202815494,0.3021346691831952
5,1.366680507844219,0.3726128063752138,0.23251286319928788,0.3025628347872509
6,1.3650373754495306,0.3708066324613198,0.23244776693933528,0.30162719970032753
7,1.363652452903364,0.36819491059592163,0.23435124196018478,0.3012730762780532
8,1.3622743598859464,0.37516455801641124,0.23384581641241647,0.3045051872144139
9,1.3613005570770396,0.37372695221964963,0.23311115270278246,0.30341905246121603
10,1.3605231393997659,0.3763586904974838,0.2331129421365992,0.3047358163170415
11,1.359857113147577,0.37447996667691863,0.23350346747544465,0.30399171707618167
12,1.3587522765723046,0.37368249684459404,0.23347668129976368,0.30357958907217886
13,1.358206954663089,0.3758721824283177,0.2350523667639564,0.30546227459613706
14,1.3573319284562302,0.37583880689248367,0.23378381794847122,0.30481131242047743
15,1.3573767492480584,0.3768803638806318,0.23524975480517968,0.30606505934290573
16,1.3568145708009924,0.3755907101154102,0.2345830213642246,0.30508686573981736
17,1.3562318017528308,0.3729894929937248,0.2354497649012819,0.3042196289475033
18,1.3557202151948489,0.3718699263412278,0.2353444108511032,0.3036071685961655
19,1.3551745189811946,0.37560590909073477,0.2349351159177662,0.30527051250425047
20,1.3550002397792824,0.37549464879137884,0.23399747948388727,0.30474606413763305
21,1.3550363573111732,0.3766720624711431,0.23579789687561167,0.30623497967337737
22,1.3544793861004616,0.3779510775050347,0.2344575089585126,0.30620429323177367
23,1.3542763260242092,0.3785024977542861,0.23442744656844,0.30646497216136304
24,1.3537411082369204,0.37746360573888665,0.23466196634788344,0.30606278604338505
25,1.3531973534518,0.3774225518614025,0.2355286524080318,0.30647560213471714
26,1.3530760702325748,0.3768943662907387,0.23614622353471146,0.3065202949127251
27,1.352716065834208,0.3760262851893436,0.2369368887860404,0.306481586987692
28,1.3524617184004881,0.37652121057213517,0.2335164066717223,0.30501880862192876
29,1.3526845479780927,0.3760191377574232,0.23530762769068997,0.3056633827240566
30,1.3520098735256116,0.37816482233049803,0.23500522442702693,0.3065850233787625
31,1.352158735501179,0.3762497424270609,0.2333040274302561,0.3047768849286585
32,1.3515971831945521,0.378722690885048,0.23343823560267152,0.30608046324385974
33,1.3517534417132142,0.38304794847523793,0.23544808096659073,0.30924801472091434
34,1.35117455480754,0.3776468957073712,0.23535360765742153,0.30650025168239636
35,1.3515575414341205,0.378046651154002,0.2368312320357875,0.3074389415948947
36,1.3513797424308596,0.37944370447102027,0.23467458060804017,0.3070591425395302
37,1.3512904030172062,0.3812721904089838,0.23648480473569722,0.30887849757234054
38,1.3506622137894195,0.3814796946369484,0.23456933193582025,0.30802451328638436
39,1.3508517129914306,0.38067383488505263,0.23440607796445503,0.30753995642475385
